iteration;rss
694;3114.79422371
695;3114.75199846
696;3114.70977402
697;3114.66755039
698;3114.62532755
699;3114.58310552
700;3114.54088429
701;3114.49866386
702;3114.45644424
703;3114.41422542
704;3114.37200741
705;3114.32979019
706;3114.28757378
707;3114.24535818
708;3114.20314337
709;3114.16092937
710;3114.11871617
711;3114.07650378
712;3114.03429218
713;3113.99208139
714;3113.94987141
715;3113.90766222
716;3113.86545384
717;3113.82324626
718;3113.78103949
719;3113.73883352
720;3113.69662835
721;3113.65442398
722;3113.61222041
723;3113.57001765
724;3113.52781569
725;3113.48561454
726;3113.44341419
727;3113.40121463
728;3113.35901589
729;3113.31681794
730;3113.2746208
731;3113.23242446
732;3113.19022892
733;3113.14803419
734;3113.10584025
735;3113.06364712
736;3113.0214548
737;3112.97926327
738;3112.93707255
739;3112.89488263
740;3112.85269351
741;3112.8105052
742;3112.76831769
743;3112.72613098
744;3112.68394507
745;3112.64175997
746;3112.59957566
747;3112.55739216
748;3112.51520947
749;3112.47302757
750;3112.43084648
751;3112.38866619
752;3112.3464867
753;3112.30430801
754;3112.26213013
755;3112.21995305
756;3112.17777677
757;3112.13560129
758;3112.09342662
759;3112.05125275
760;3112.00907968
761;3111.96690741
762;3111.92473594
763;3111.88256528
764;3111.84039542
765;3111.79822636
766;3111.7560581
767;3111.71389064
768;3111.67172399
769;3111.62955814
770;3111.58739309
771;3111.54522884
772;3111.5030654
773;3111.46090275
774;3111.41874091
775;3111.37657987
776;3111.33441964
777;3111.2922602
778;3111.25010157
779;3111.20794373
780;3111.1657867
781;3111.12363048
782;3111.08147505
783;3111.03932043
784;3110.9971666
785;3110.95501358
786;3110.91286137
787;3110.87070995
788;3110.82855933
789;3110.78640952
790;3110.74426051
791;3110.7021123
792;3110.65996489
793;3110.61781828
794;3110.57567248
795;3110.53352747
796;3110.49138327
797;3110.44923987
798;3110.40709727
799;3110.36495548
800;3110.32281448
801;3110.28067429
802;3110.2385349
803;3110.19639631
804;3110.15425852
805;3110.11212153
806;3110.06998534
807;3110.02784996
808;3109.98571537
809;3109.94358159
810;3109.90144861
811;3109.85931643
812;3109.81718506
813;3109.77505448
814;3109.7329247
815;3109.69079573
816;3109.64866756
817;3109.60654019
818;3109.56441362
819;3109.52228785
820;3109.48016288
821;3109.43803872
822;3109.39591535
823;3109.35379279
824;3109.31167103
825;3109.26955007
826;3109.22742991
827;3109.18531055
828;3109.14319199
829;3109.10107424
830;3109.05895728
831;3109.01684113
832;3108.97472577
833;3108.93261122
834;3108.89049747
835;3108.84838452
836;3108.80627237
837;3108.76416103
838;3108.72205048
839;3108.67994073
840;3108.63783179
841;3108.59572365
842;3108.5536163
843;3108.51150976
